estadoProyecto;personaAsignada;otraPersona;fechaDebate;numero;nombreProyecto;autores;ponentes;micrositio;accionSugerida;Objeto;numArticulado;sintesisArticulo;conceptos;consideraciones;votacionArticulo;conflictoDeInteres;estadoCi;estadoProposicion;linkProposicion;idUsuarioFK;otraPersonaFK
Aprobado C;CAMILO QUINTERO;;2024-11-18;09 DE 2023;MEDIANTE LA CUAL SE MODIFICA LA LEY 1523 DE 2012, RECONOCIENDO E INCLUYENDO A LOS ANIMALES DENTRO DE LA POLITICA DE GESTIoN DE RIESGOS DE DESASTRE Y SE DICTAN OTRAS DISPOSICIONES;H.S.Yuly Esmeralda Hernandez Silva , H.S.Pedro Hernando Florez Porras , H.S.Clara Eugenia Lopez Obregon , H.S.Catalina del Socorro Perez Perez , H.S.Omar de Jesus Restrepo Correa , H.S.Isabel Cristina Zuleta Lopez , H.S.Piedad Esneda Cordoba Ruiz , H.S.Aida Yolanda Avella Esquivel , H.S.Maria Jose Pizarro Rodriguez , H.S.Aida Marina Quilcue Vivas , H.S.Sandra Ramirez Lobo H.R.Alirio Uribe Munoz , H.R.Eduard Giovanny Sarmiento Hidalgo , H.R.Erick Adrian Velasco Burbano , H.R.Martha Lisbeth Alfonso Jurado , H.R.Jorge Andres Cancimance Lopez , H.R.Heraclito Landinez Suarez , H.R.Gabriel Becerra Yanez , H.R.Maria del Mar Pizarro Garcia , H.R.Jorge Alejandro Ocampo Giraldo , H.R.Agmeth Jose Escaf Tijerino , H.R.Maria Fernanda Carrascal Rojas , H.R.Pedro Jose Suarez Vacca , H.R.Norman David Banol Alvarez;H.R. Cristobal Caicedo Angulo;https://www.camara.gov.co/politica-riesgo-desastres-animales;NO ACTUAR;La presente ley modifica la ley 1523 de 2012, Por la cual se adopta la politica nacional de gestion del riesgo de desastres y se establece el Sistema Nacional de Gestion del Riesgo de Desastres con el proposito de incluir a los animales como sujetos destinatarios de las medidas de atencion y prevencion en el marco de esta politica. ;15;- 1: Objeto - Del 2 al 11: Modificaciones a la Ley 1523 de 2012 - 12: Actualizacion del Plan Nacional de Gestion del Riesgo y la Estrategia Nacional para la Respuesta a Emergencias - 13: Concurrencia de las entidades territoriales - 14:  Capacitacion y Educacion en Procedimientos de Rescate y Evaluacion de Animales. - 15: Vigencia;MinHacienda: A criterio de esta Cartera, las obligaciones referidas podrian no tener impacto en las finanzas de la Nacion, siempre y cuando estas sean ejecutadas con el personal ya vinculado a las entidades correspondientes y con los recursos designados para cada entidad mencionada en la respectiva vigencia. Dicho de otro modo, estas medidas no deberian implicar la contratacion de personal adicional para el cumplimiento de las funciones y obligaciones previstas en el articulado, en aras de evitar gastos no contemplados en el Presupuesto General de la Nacion.   Ahora bien, sobre la obligacion en cabeza del Gobierno nacional de realizar campanas de educacion y capacitacion en procedimientos de rescate y evaluacion de animales, se recuerda que las entidades publicas del orden nacional cuentan dentro de sus presupuestos de inversion con partidas destinadas al financiamiento de campanas publicitarias, de manera que cada una de las entidades involucradas tendria que ajustarse a las disponibilidades presupuestales en la ejecucion de la politica publica, tal como lo ha dispuesto el articulo 39 del EOP. Ademas, el cumplimiento de esta propuesta tendria que sujetarse a lo dispuesto en el Decreto 199 de 20243, relacionado con las medidas de austeridad del gasto para 2024, particularmente en lo relacionado con el ahorro en la publicidad estatal.  ;Dada su ubicacion geografica, Colombia puede experimentar una variedad de eventos relacionados con amenazas naturales y geologicas. Es decir, debido a las caracteristicas territoriales del pais, es posible que se presenten eventos sismicos, volcanicos, inundaciones, vendavales, tormentas electricas, huracanes, epidemias, pandemias, fenomenos climaticos, meteorologicos, etc.  La ley de gestion de riesgo y desastres en Colombia en la actualidad incluye la proteccion de las personas y los bienes, sin tener en cuenta los animales afectados y asi mismo carecen de la capacidad y los recursos que necesitan para atender la situacion posterior a un desastre.  La UNGRD reporta el numero de personas fallecidas y desaparecidas, junto con el de las afectaciones de las viviendas e infraestructura y que no sucede lo mismo con las afectaciones a los animales no humanos. Lo anterior, ya que estos no se encuentran incluidos en los protocolos para la anticipacion del riesgo ni en la implementacion de acciones de rescate y proteccion despues de ocurridos los eventos.   De los reportes existentes, ninguno cuantifica los animales afectados en el marco de la gestion de riesgo y desastres, no se cuenta con estadisticas de eventos donde se vea afectada la fauna silvestre y domestica que se puede ver directamente afectada, no incluyen la atencion a los animales dentro de la politica de gestion de riesgo y no se cuenta con un respaldo legal que obligue a la atencion y apoyo a los animales ante hechos de emergencias o desastres.  Es necesaria la inclusion de los animales en los procesos de gestion de riesgos. Los animales son una parte fundamental de nuestra vida diaria y de nuestra sociedad. Sin embargo, ante un desastre causado por fenomenos naturales o por acciones del ser humano, estos animales no reciben la ayuda adecuada o no se les auxilia en absoluto. En la actualidad, no se cuenta con protocolos para una atencion oportuna en las etapas de prevencion, mitigacion y atencion.  ;Positivo a todos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;1;null
Aprobado C;DANIEL URREA ;;2024-12-03;295 DE 2024;mediante el cual se reglamenta el baluarte distrital de teatristas independientes de Cartagena de san lucas, su sala de teatro recula del ovejo y se dictan otras disposiciones.;H.R.Dorina Hernandez Palomino;H.R. Dorina Hernandez PalominoH.R. Susana Gomez Castano;https://www.camara.gov.co/teatristas-independientes;NO ACTUAR;Reglamentar el Baluarte Distrital de Teatristas como patrimonio inmueble de Cartagena ;11;1. Objeto del proyecto  2. Definiciones  3. Define que el baluarte distrital tendra marca propia y sera administrado por una unica entidad  4. Faculta a Mininterior y Mincultura a generar adecuaciones en este espacio. Paragrafos agregan aspectos de dotacion y mantenimiento.  5. Faculta a destinar recursos a Mincultura  6. Destinar 3,5% del recaudo de las fortificaciones de Cartagena de Indias al arte dramatico  7. Faculta al gobierno departamental de Bolivar a destinar recursos para este espacio  8. Faculta al distrito de Cartagena a destinar recursos para este espacio  9. Indica que la Asociacion Distrital de Teatristas Independientes de Cartagena asumira el compromiso de usar una parte significativa de su presupuesto para investigar sobre unos temas, periodos historicos y puntos geograficos que se definen. En paragrafo se listan tambien lideres historicos que deben reconocerse.  10. Monitoreo y evaluacion  11. Vigencia y derogatorias. Deroga todas las disposiciones que le sean contrarias. ;No se encontraron conceptos;- Es confuso que el objeto sea reglamentar, teniendo en cuenta que esta es una funcion del gobierno y no del Congreso  - Las definiciones no son claras, se definen de manera muy generica unos espacios fisicos  - Art. 3: podria interpretarse como un entrometimiento en derechos legales de los privados, como la creacion de una entidad privada y la unificacion de una identidad de marca.  - Art. 6: es delicado y cuestionable que se apropie de un porcentaje de lo recaudado de las fortificaciones de Cartagena, esto podria sobrepasar los limites de la autonomia territorial.  - Art. 9: es problematico que este articulo le indique a una entidad privadaen  que tiene que destinar parte de sus recursos  - Art. 11: teniendo en cuenta tantas alertas tecnicas, esta ley no deberia derogar nada que la contradiga, esto podria generar una ambigüedad o inestabilidad legal delicadas ;1. Negativo  2. Negativo  3. Negativo  4. Positivo  5. Positivo  6. Negativo  7. Positivo  8. Positivo  9. Negativo  10. Positivo  11. Negativo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;2;null
Aprobado C;DANIEL URREA;;2024-11-27;100 DE 2024;POR MEDIO DE LA CUAL SE CREA EL FESTIVAL DE ARTES, CULTURA, MUSICA Y TRADICIONES CAMPESINAS DEL MUNDO EN EL DEPARTAMENTO DE BOYACA;H.R.Wilmer Yair Castellanos Hernandez;H.R. Jaime Raul Salamanca Torres H.R. Eduard Alexis Triana Rincon;https://www.camara.gov.co/festival-de-artes-de-boyaca;NO ACTUAR;exaltar a la figura campesina y su valiosa contribucion a la seguridad alimentaria y a la sociedad fomentando, la preservacion y difusion de las artes, la diversidad cultural, la musica y las tradiciones campesinas;8;1. Objeto  2. Creacion del festival  3. Celebracion del festival  4. Organizacion y promocion  5. Invitacion a comunidades campesinas internacionales  6. Banco de proyectos  7. Disponibilidad presupuestal  8. Vigencia ;No hay ;;Positivo a todos ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;2;null
Aprobado C;JUAN PABLO CARDONA ;;2025-02-25;066 DE 2024;Por el cual se modifica la Ley 769 de 2002: Por la cual se expide el Codigo Nacional de Transito Terrestre y se dictan otras disposiciones y la Ley 1364 de 2009: Por la cual se modifica el numeral 1 del paragrafo del articulo 193 y el numeral 4 del articulo 196 del Decreto 663 de 1993. sobre el Seguro Obligatorio de Accidentes de Transito (SOAT) en las zonas fronterizas y se dictan otras disposiciones;Ruth Amelia Caycedo Rosero;H.R. Alfredo Ape Cuello Baute;https://www.camara.gov.co/gratuidad-soat;NO ACTUAR;El presente proyecto de ley tiene por objeto establecer un te?rmino de gratuidad en el SOAT de los vehi?culos extranjeros que ingresan al territorio nacional por las zonas fronterizas, con el fin de fortalecer las relaciones comerciales que son de beneficio para el pai?s y para el desarrollo econo?mico de la poblacio?n de estas zonas.   Hoy el Departamento de Narin?o cuenta con una barrera que no permite dinamizar por completo la economi?a de la regio?n, pues entre los requisitos para que un vehi?culo ingrese al pai?s debe adquirir el Seguro Obligatorio de Accidentes de Tra?nsito (SOAT) por el tiempo en el cual va a permanecer en el pai?s;3;1. Modificacio?n al arti?culo 42 de la Ley 769 - Seguros obligatorios 2. Obligacio?n de que las aseguradoras expidan un seguro para los vehi?culos con placa extranjera. 3. Vigencia;Sin conceptos;El proyecto no plantea serios riesgos para la seguridad financiera del SOAT en tanto que los vehi?culos con placa extranjera no son actores que generen una gran cantidad de siniestros viales mortales y no mortales en el pai?s. Adema?s, se establece que el li?mite ma?ximo para transitar sin seguro sera? de 3 di?as.  Lo u?nico que preocupa es la obligacio?n de que las aseguradoras deban expedir seguros para los vehi?culos con placas extranjeras. Esta obligacio?n parece excesiva ya que si las aseguradoras no esta?n expidiendo estos seguros es porque no es rentable econo?micamente para ellos.;Positivos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;3;null
Aprobado C;MATEO GRISALES ;;2025-02-18;064 DE 2024;POR MEDIO DE LA CUAL SE OTORGA BONIFICACION AL PERSONAL ADMINISTRATIVO DE INSTITUCIONES EDUCATIVAS PUBLICAS UBICADAS EN ZONAS DE DIFICIL ACCESO;Hector Mauricio Cuellar Pinzon,;CIRO ANTONIO RODRIGUEZ PINZON;;NO ACTUAR;tiene como fin ampliar la bonificacion especial, actualmente concedida unicamente a los docentes, para incluir tambien al personal administrativo de las instituciones educativas estatales que trabajan  en zonas de dificil acceso. Este incentivo economico se otorgara para compensar las dificultades adicionales que enfrenta este personal debido a la ubicacion geografica de sus lugares de trabajo. El proyecto tiene como objetivo promover la equidad y justicia laboral, asegurando que todos los trabajadores del sector educativo en estas areas reciban un trato equitativo y el mismo reconocimiento por los desafios que afrontan.;3;1. Adicionese un paragrafo al articulo 2 de la ley 1297 de 2009  2. Reglamentacion  3. Vigencia y derogatoria ;Sin conceptos;Sin alertas. Apoyar decididamente.  Es pertienente que en el marco de este debate mencionemos nuestro proyecto de ley de Educacion Rural que esta a la espera de ser agendado en la Plenaria de la Camara de Representantes.   Apoyamos la bonificacion de personal administrativo de las Instituciones Educativas Rurales, pero esto es insuficiente si no tenemos sedes educativas dignas, conectadas a agua, energia electrica e internet: Solo el 22,7% de las sedes educativas rurales tienen conectividad a internet, el 15,5% de las sedes educativas rurales no tienen acceso a servicios basicos como el agua potable y electricidad, en la Guajira y Vichada este porcentaje puede llegar a ser del 68%. Y menos de la mitad de los estudiantes que ingresan a grado primero de primaria llegan a grado once. La educacion rural requiere urgente atencion, pero nuestro proyecto que busca contribuir a mejorar la calidad de la educacion rural en el pais - y que fue aprobado y apoyado por unanimidad en esta comision- sigue pendiente de que se debata en la Plenaria de la Camara de Representantes y esta apunto de hundirse por tiempos.   Le pido al Ministerio de Educacion que priorice este proyecto en su agenda y a la mesa directiva de que lo agende para ser dabatido prontamente. ;Positivos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;5;null
Aprobado C;JUAN PABLO CARDONA ;;2025-04-02;456 DE 2024;POR MEDIO DE LA CUAL SE RECONOCE, EXALTA Y DECLARA PATRIMONIO CULTURAL INMATERIAL DE LA NACION EL FESTIVAL NACIONAL DEL CAIMAN CIENAGUERO DEL MUNICIPIO DE CIENAGA EN EL DEPARTAMENTO DEL MAGDALENA Y SE DICTAN OTRAS DISPOSICIONES;;;;NO ACTUAR;;;;;;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;3;null
Aprobado C;CAMILO QUINTERO ;;2025-02-26;219 DE 2024;Por medio de la cual se regula la circulacion y se promueve el uso de vehiculos electricos livianos de movilidad personal urbana, como alternativas de movilidad sostenible;Senador Julio Alberto Elias Vidal;Diego Fernando Caicedo ;https://www.camara.gov.co/bicicletas-y-patinetas;NO ACTUAR;"La presente ley tiene por objeto: 1. Regular el transito de bicicletas con pedaleo asistido, patinetas electricas y vehiculos autoequilibrados; asegurando la vida e integridad de sus usuarios y de los demas actores de la via. 2. Promover el uso de los vehiculos referidos en el numeral anterior como medios de transporte personal, que constituyen alternativas de movilidad urbana sostenible.";11;1. OBJETO 2. DEFINICIONES 3.  CIRCULACION DE VEHICULOS ELECTRICOS LIVIANOS DE MOVILIDAD PERSONAL URBANA 4.  PRELACION EN LA VIA DE LOS PEATONES, CICLISTAS Y USUARIOS  DE VEHICULOS ELECTRICOS LIVIANOS DE MOVILIDAD PERSONAL URBANA 5.  MANIOBRA DE ADELANTAMIENTO DE CICLISTAS Y USUARIOS DE  VEHICULOS ELECTRICOS LIVIANOS DE MOVILIDAD PERSONAL URBANA  6. REGLAMENTACION 7. GARANTIA DE DISPONIBILIDAD DE REPUESTOS PARA VEHICULOS  ELECTRICOS LIVIANOS DE MOVILIDAD PERSONAL URBANA 8.  INCENTIVO DE USO DE VEHICULOS ELECTRICOS LIVIANOS DE  MOVILIDAD PERSONAL URBANA PARA FUNCIONARIOS PUBLICOS 9. PROMOCION DEL USO DE VEHICULOS ELECTRICOS LIVIANOS DE  MOVILIDAD PERSONAL URBANA 10. REVISION DE LA SITUACION ARANCELARIA EN LA IMPORTACION  DE VEHICULOS ELECTRICOS LIVIANOS DE MOVILIDAD PERSONAL URBANA, SUS  REPUESTOS E IMPLEMENTOS DE SEGURIDAD  11. VIGENCIA Y DEROGATORIAS;MinHacienda: Respecto de las propuestas contenidas en la iniciativa, su alcance fiscal no esta especificado. En cualquier caso, es pertinente resaltar que el diseno e implementacion de politicas publicas, asi como su inspeccion y vigilancia, recae en los diferentes Ministerios, segun el articulo 58 de la Ley 489 de 19981 , que senala son quienes tienen por objetivos primordiales la formulacion y adopcion de las politicas, planes generales, programas y proyectos del Sector Administrativo que dirigen, los cuales se cumplen a traves de las entidades descentralizadas del orden nacional adscritas o vinculadas al sector.;"En los ultimos anos, hemos sido testigos del vertiginoso crecimiento de los vehiculos electricos de movilidad personal urbana (como bicicletas electricas, patinetas electricas, monociclos electricos, entre otros). Si bien estos medios de transporte pueden revolucionar la manera en que nos desplazamos en entornos urbanos y traer consigo beneficios significativos para el medio ambiente y la movilidad, en Colombia existe un vacio legal frente a su regulacion. Es por esta razon que, reconociendo la existencia de este fenomeno, se presento a consideracion del Congreso de la Republica un proyecto de ley con el que se pretenden hacer, primordialmente, dos cosas: regular la circulacion de dicho tipo de vehiculos (introduciendo las modificaciones pertinentes en el Codigo Nacional de Transito Terrestre) y promover su uso.   Es esencial que exista una regulacion legal integral que abarque a estos nuevos actores en la via. Una regulacion adecuada no solo garantizara la seguridad de los usuarios y peatones, sino que tambien promovera un uso responsable de estos vehiculos y una coexistencia armoniosa con otros medios de transporte. Entre varios aspectos que se regulan con la iniciativa se destacan: edad minima para su conduccion de 16 anos; utilizacion exclusiva para transporte personal o individual dentro del perimetro urbano; deber de circular siempre por la ciclo-infraestructura disponible y en su ausencia por las vias permitidas, ocupando el carril derecho, paralelo al anden, en el mismo sentido de la via y sin utilizar las vias exclusivas para servicio publico colectivo; limite maximo de velocidad de 20 km/h en la ciclo-infraestructura y de 30 km/h en las vias permitidas; uso obligatorio del casco de seguridad; y uso obligatorio de prendas reflectivas y dispositivos luminicos entre las 6 de la tarde y las 6 de la manana.  En cuanto a la promocion de estos medios de transporte, se implementan varias medidas: se garantiza la importacion de repuestos para estos vehiculos; se amplia el beneficio para los ciclistas que son funcionarios publicos, quienes pueden recibir hasta 4 medios dias libres remunerados al ano al demostrar que llegan a trabajar en estos vehiculos; se instruye a los municipios y distritos a formular e implementar campanas periodicas para fomentar el uso de estos vehiculos como alternativas de movilidad urbana sostenible y se les autoriza a otorgar beneficios para incentivar su uso; adicionalmente, se establece la obligacion de promover estos medios en ferias, exposiciones y eventos culturales durante la Semana Nacional de la Movilidad Sostenible, conforme al articulo 18 de la Ley 1811 de 2016 (Por la cual se otorgan incentivos para promover el uso de la bicicleta en el territorio nacional y se modifica el Codigo Nacional de Transito). Por ultimo, se exhorta al Presidente de la Republica a utilizar su facultad constitucional para que, mediante las entidades competentes, evalue y, de ser necesario, modifique los aranceles aplicables a la importacion de vehiculos electricos livianos de movilidad personal, sus repuestos y sus implementos de seguridad. ";Positivo todos;NO APLICA;NO APLICA;NO APLICA;NO APLICA;1;null
Aprobado C;MATEO GRISALES ;;2025-03-11;189 DE 2024;Por medio de la cual se modifica la ley 43 de 1990 y se dictan otras disposiciones;H.R.Jorge Alberto Cerchiaro Figueroa , H.R.Luis David Suarez Chadid , H.R.Gerardo Yepes Caro , H.R.Milene Jarava Diaz , H.R.Hernando Guida Ponce , H.R.Jose Eliecer Salazar Lopez , H.R.Teresa De Jesus Enriquez Rosero , H.R.Modesto Enrique Aguilera Vides , H.R.Alexander Guarin Silva , H.R.Mauricio Parodi DiazMinim;H.R. Alfredo Ape Cuello Baute H.R. Dorina Hernandez Palomino;https://www.camara.gov.co/tarjeta-contador-publico;NO ACTUAR;Este proyecto de ley tiene como objeto promover la inclusion y la equidad en el acceso a la tarjeta profesional a los graduados de contaduria e incentivar el ejercicio de esta profesion, modificando los requisitos exigidos actualmente para la expedicion de la tarjeta profesional como Contador Publico en Colombia.;2;;Sin concepto ;Es un proyecto sencillo que busca actualizar la norma que rige los contadores publicos que les exige su acreditacion profesional. Sin alertas importantes. ;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;5;null
Aprobado C;VALENTINA SOSSA ;;2024-10-30;054 DE 2024;POR MEDIO DEL CUAL SE PROMOCIONA EL TURISMO COMUNITARIO EN PAZ Y SOSTENIBLE Y SE DICTAN OTRAS DISPOSICIONES;H.R.James Hermenegildo Mosquera Torres;H.R. Haiver Rincon Gutierrez H.R. Gerson Lisimaco Montano Arizala;https://www.camara.gov.co/turismo-comunitario-2;NO ACTUAR;Busca crear un marco legal para promover, regular y fomentar el programa de turismo comunitario en paz y sostenible, garantizando la participacion de las comunidades locales, la conservacion del medio ambiente y el respeto por la diversidad cultural.;13;1. Objeto  2. Principios 3. Creacion del Programa Nacional de Turismo Comunitario y Sostenible 4. Desarrollo del programa 5. Registro de Organizaciones de Base Comunitaria  6. Incentivos para el Desarrollo de Proyectos de Turismo Comunitario 7. Capacitacion y Asistencia Tecnica a las comunidades para el desarrollo y gestion de proyectos de turismo comunitario en paz y sostenible 8. Proteccion de los Recursos Naturales y Culturales 9. Promocion de la Diversidad Cultural 10. Financiacion a traves del PGN 11. Informe anual al Congreso de la Republica sobre el avance y resultados del Programa Nacional de Turismo Comunitario en Paz y Sostenible 12. Reglamentacion en un plazo no mayor a 6 meses contados a partir de la promulgacion de la presente Ley 13. Vigencia;No hay conceptos. Tiene impacto fiscal por lo que es importante que se cuente con el concepto de Ministerio de Hacienda.;"Este proyecto es positivo y tiene un proposito importante que es el de fortalecer el turismo comunitario y sostenible, una iniciativa necesaria para avanzar en esta materia en el pais.Sin embargo, hay varios aspectos que deben resolverse durante el tramite para no perjudicar el proyecto y dar las claridades:   a. La iniciativa tiene impacto fiscal, ya que plantea la creacion de un nuevo programa, un Registro adicional y la exencion de impuestos. Sin embargo, no se ha realizado un analisis de costos, lo que deja sin claridad como se financiaran estas medidas.  b. En el Registro de Organizaciones de Base Comunitaria propuesto, se establece la obligacion de registro para diversas organizaciones y comunidades, incluidos los resguardos indigenas. Es importante determinar juridicamente si este registro requiere la realizacion de consulta previa por ser indispensable para el acceso a lo planteado en la iniciativa. Tambien es importante aclarar si este registro sera gratuito; de no ser asi, podria convertirse en una barrera para que pequenas organizaciones o asociaciones en proceso de consolidacion accedan a los beneficios del proyecto, especialmente si carecen de recursos economicos.  c. Los incentivos fiscales y financieros no pueden ser abiertos sin responsables, deben tener una definicion clara segun la Constitucion Politica: Articulo 338: (...) La ley, las ordenanzas y los acuerdos deben fijar, directamente, los sujetos activos y pasivos, los hechos y las bases gravables, y las tarifas de los impuestos.";Positivo ;NO APLICA;NO APLICA;NO APLICA;NO APLICA;7;null
Aprobado C;VALENTINA SOSSA ;;2024-11-27;260 DE 2024;Por medio del cual se declara Patrimonio Cultural Inmaterial de la Nacion el Sanjuanero Tolimense y se dictan otras disposiciones;H.R.Jose Alejandro Martinez Sanchez , H.R.Jorge Eliecer Tamayo Marulanda , H.R.Alvaro Mauricio Londono Lugo , H.R.Jose Eliecer Salazar Lopez , H.R.Camilo Esteban Avila Morales , H.R.Hernando Guida Ponce , H.R.Alfredo Mondragon Garzon , H.R.Juan Daniel Penuela Calvache , H.R.Ingrid Marlen Sogamoso Alfonso , H.R.Wilder Iberson Escobar Ortiz , H.R.Erika Tatiana Sanchez Pinto , H.R.Ingrid Johana Aguirre Juvinao , H.R.Juliana Aray Franco , H.R.Juan Carlos Wills Ospina;;;NO ACTUAR;Busca declarar como patrimonio cultural inmaterial de la Nacion el baile del Sanjuanero Tolimense para que se reconozca y exalte como danza tradicional y genero musical, propios de la cultura del Tolima Grande.;7;1. Objeto 2. Inclusion de esta manifestacion en la lista Representativa del Patrimonio Cultural Inmaterial  3 y 4. Disponibilidad presupuestal  5. Divulgacion y promocion del baile del Sanjuanero Tolimense 6. 24 de junio Dia Nacional del Sanjuanero Tolimense y de la la vida y obra musical de los Maestros Cantalicio Rojas, Ines Rojas Luna y Misael Devia Morales 7. Vigencia;No hay conceptos;No hay alertas.  Este proyecto es uno mas de los que buscan declarar Patrimonio Cultural Inmaterial, que como se ha mencionado anteriormente, estas iniciativas desconocen el procedimiento administrativo establecido por el Min. de Culturas para estas declaratorias.;Positivo;NO APLICA;NO APLICA;NO APLICA;NO APLICA;7;null
